año;distrito;barrio;Total;mujer;hombre
1 de enero de 2020;08. Fuencarral-El Pardo;087. Mirasierra;10.898;637;662
1 de enero de 2020;08. Fuencarral-El Pardo;088. El Goloso;5.790;459;536
1 de enero de 2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;46.361;3.849;3.876
1 de enero de 2020;09. Moncloa-Aravaca;091. Casa de Campo;5.624;486;528
1 de enero de 2020;09. Moncloa-Aravaca;092. Argüelles;10.490;1.236;1.203
1 de enero de 2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.225;510;547
1 de enero de 2020;09. Moncloa-Aravaca;094. Valdezarza;12.460;973;886
1 de enero de 2020;09. Moncloa-Aravaca;095. Valdemarín;1.984;138;165
1 de enero de 2020;09. Moncloa-Aravaca;096. El Plantío;872;35;47
1 de enero de 2020;09. Moncloa-Aravaca;097. Aravaca;8.706;471;500
1 de enero de 2020;10. Latina;10. Latina;95.890;6.818;7.036
1 de enero de 2020;10. Latina;101. Los Cármenes;6.644;466;549
1 de enero de 2020;10. Latina;102. Puerta del Ángel;17.587;1.795;1.751
1 de enero de 2020;10. Latina;103. Lucero;14.243;1.007;1.070
1 de enero de 2020;10. Latina;104. Aluche;26.836;1.558;1.527
1 de enero de 2020;10. Latina;105. Campamento;7.481;500;544
1 de enero de 2020;10. Latina;106. Cuatro Vientos;2.223;289;317
1 de enero de 2020;10. Latina;107. Águilas;20.876;1.203;1.278
1 de enero de 2020;11. Carabanchel;11. Carabanchel;96.923;7.528;7.409
1 de enero de 2020;11. Carabanchel;111. Comillas;9.633;844;832
1 de enero de 2020;11. Carabanchel;112. Opañel;13.211;1.165;1.068
1 de enero de 2020;11. Carabanchel;113. San Isidro;15.312;1.351;1.257
1 de enero de 2020;11. Carabanchel;114. Vista Alegre;17.496;1.187;1.058
1 de enero de 2020;11. Carabanchel;115. Puerta Bonita;12.701;892;897
1 de enero de 2020;11. Carabanchel;116. Buenavista;17.395;1.354;1.565
1 de enero de 2020;11. Carabanchel;117. Abrantes;11.175;735;732
1 de enero de 2020;12. Usera;12. Usera;50.189;3.287;3.553
1 de enero de 2020;12. Usera;121. Orcasitas;8.437;446;488
1 de enero de 2020;12. Usera;122. Orcasur;4.768;322;376
1 de enero de 2020;12. Usera;123. San Fermín;8.316;491;640
1 de enero de 2020;12. Usera;124. Almendrales;7.710;582;582
1 de enero de 2020;12. Usera;125. Moscardó;9.881;723;719
1 de enero de 2020;12. Usera;126. Zofío;5.049;327;336
1 de enero de 2020;12. Usera;127. Pradolongo;6.028;396;412
1 de enero de 2020;13. Puente de Vallecas;13. Puente de Vallecas;89.401;6.601;7.284
1 de enero de 2020;13. Puente de Vallecas;131. Entrevías;12.801;740;861
1 de enero de 2020;13. Puente de Vallecas;132. San Diego;16.135;1.492;1.766
1 de enero de 2020;13. Puente de Vallecas;133. Palomeras Bajas;15.164;1.143;1.120
1 de enero de 2020;13. Puente de Vallecas;134. Palomeras Sureste;16.112;976;1.162
1 de enero de 2020;13. Puente de Vallecas;135. Portazgo;10.881;728;743
1 de enero de 2020;13. Puente de Vallecas;136. Numancia;18.308;1.522;1.632
1 de enero de 2020;14. Moratalaz;14. Moratalaz;37.825;2.444;2.249
1 de enero de 2020;14. Moratalaz;141. Pavones;3.294;160;158
1 de enero de 2020;14. Moratalaz;142. Horcajo;2.195;161;138
1 de enero de 2020;14. Moratalaz;143. Marroquina;10.901;655;581
1 de enero de 2020;14. Moratalaz;144. Media Legua;7.210;480;430
1 de enero de 2020;14. Moratalaz;145. Fontarrón;6.938;443;464
1 de enero de 2020;14. Moratalaz;146. Vinateros;7.287;545;478
1 de enero de 2020;15. Ciudad Lineal;15. Ciudad Lineal;87.629;7.460;6.639
1 de enero de 2020;15. Ciudad Lineal;151. Ventas;20.069;1.818;1.573
1 de enero de 2020;15. Ciudad Lineal;152. Pueblo Nuevo;24.185;1.775;1.668
1 de enero de 2020;15. Ciudad Lineal;153. Quintana;10.460;1.056;890
1 de enero de 2020;15. Ciudad Lineal;154. Concepción;9.207;953;805
1 de enero de 2020;15. Ciudad Lineal;155. San Pascual;7.545;637;534
1 de enero de 2020;15. Ciudad Lineal;156. San Juan Bautista;4.939;394;401
1 de enero de 2020;15. Ciudad Lineal;157. Colina;2.640;278;231
1 de enero de 2020;15. Ciudad Lineal;158. Atalaya;573;52;50
1 de enero de 2020;15. Ciudad Lineal;159. Costillares;8.011;497;487
1 de enero de 2020;16. Hortaleza;16. Hortaleza;71.751;5.141;5.392
1 de enero de 2020;16. Hortaleza;161. Palomas;2.219;108;121
1 de enero de 2020;16. Hortaleza;162. Piovera;4.914;337;321
1 de enero de 2020;16. Hortaleza;163. Canillas;16.155;1.093;1.018
1 de enero de 2020;16. Hortaleza;164. Pinar del Rey;21.446;1.480;1.383
1 de enero de 2020;16. Hortaleza;165. Apóstol Santiago;5.835;342;443
1 de enero de 2020;16. Hortaleza;166. Valdefuentes;21.182;1.781;2.106
1 de enero de 2020;17. Villaverde;17. Villaverde;54.412;3.190;3.825
1 de enero de 2020;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.586;1.047;1.234
1 de enero de 2020;17. Villaverde;172. San Cristóbal;5.198;252;364
1 de enero de 2020;17. Villaverde;173. Butarque;6.967;482;632
1 de enero de 2020;17. Villaverde;174. Los Rosales;13.277;771;867
1 de enero de 2020;17. Villaverde;175. Ángeles;12.384;638;728
1 de enero de 2020;18. Villa de Vallecas;18. Villa de Vallecas;43.427;3.994;4.634
1 de enero de 2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.957;991;1.224
1 de enero de 2020;18. Villa de Vallecas;182. Santa Eugenia;9.063;409;417
1 de enero de 2020;18. Villa de Vallecas;183. Ensanche de Vallecas;19.407;2.594;2.993
1 de enero de 2020;19. Vicálvaro;19. Vicálvaro;26.821;1.743;2.077
1 de enero de 2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.375;803;910
1 de enero de 2020;19. Vicálvaro;192. Valdebernardo;6.136;405;411
1 de enero de 2020;19. Vicálvaro;193. Valderrivas;6.335;447;572
1 de enero de 2020;19. Vicálvaro;194. El Cañaveral;975;88;184
1 de enero de 2020;20. San Blas-Canillejas;20. San Blas-Canillejas;60.565;4.241;4.858
1 de enero de 2020;20. San Blas-Canillejas;201. Simancas;11.063;974;1.042
1 de enero de 2020;20. San Blas-Canillejas;202. Hellín;3.721;234;275
1 de enero de 2020;20. San Blas-Canillejas;203. Amposta;3.408;237;310
1 de enero de 2020;20. San Blas-Canillejas;204. Arcos;9.033;529;662
1 de enero de 2020;20. San Blas-Canillejas;205. Rosas;11.138;636;693
1 de enero de 2020;20. San Blas-Canillejas;206. Rejas;6.844;687;860
1 de enero de 2020;20. San Blas-Canillejas;207. Canillejas;11.011;655;724
1 de enero de 2020;20. San Blas-Canillejas;208. El Salvador;4.347;289;292
1 de enero de 2020;21. Barajas;21. Barajas;18.606;1.329;1.433
1 de enero de 2020;21. Barajas;211. Alameda de Osuna;7.366;340;365
1 de enero de 2020;21. Barajas;212. Aeropuerto;705;35;82
1 de enero de 2020;21. Barajas;213. Casco Histórico de Barajas;3.175;316;326
1 de enero de 2020;21. Barajas;214. Timón;4.755;458;461
1 de enero de 2020;21. Barajas;215. Corralejos;2.605;180;199
1 de enero de 2021;Ciudad de Madrid;Ciudad de Madrid;1.306.612;118.230;117.967
1 de enero de 2021;01. Centro;01. Centro;69.504;11.628;13.636
1 de enero de 2021;01. Centro;011. Palacio;11.613;1.813;2.064
1 de enero de 2021;01. Centro;012. Embajadores;22.614;3.869;4.408
1 de enero de 2021;01. Centro;013. Cortes;5.488;937;1.061
1 de enero de 2021;01. Centro;014. Justicia;8.927;1.438;1.843
1 de enero de 2021;01. Centro;015. Universidad;16.967;2.958;3.443
1 de enero de 2021;01. Centro;016. Sol;3.895;613;817
1 de enero de 2021;02. Arganzuela;02. Arganzuela;65.479;7.354;6.737
1 de enero de 2021;02. Arganzuela;021. Imperial;9.628;1.036;918
1 de enero de 2021;02. Arganzuela;022. Acacias;15.474;1.687;1.282
1 de enero de 2021;02. Arganzuela;023. Chopera;8.626;953;775
1 de enero de 2021;02. Arganzuela;024. Legazpi;7.603;813;862
1 de enero de 2021;02. Arganzuela;025. Delicias;11.826;1.300;1.286
1 de enero de 2021;02. Arganzuela;026. Palos de la Frontera;11.802;1.517;1.561
1 de enero de 2021;02. Arganzuela;027. Atocha;520;48;53
1 de enero de 2021;03. Retiro;03. Retiro;48.880;4.330;3.892
1 de enero de 2021;03. Retiro;031. Pacífico;14.625;1.504;1.322
1 de enero de 2021;03. Retiro;032. Adelfas;7.774;763;723
1 de enero de 2021;03. Retiro;033. Estrella;8.722;426;418
1 de enero de 2021;03. Retiro;034. Ibiza;9.304;1.048;821
1 de enero de 2021;03. Retiro;035. Los Jerónimos;2.776;245;260
1 de enero de 2021;03. Retiro;036. Niño Jesús;5.679;344;348
1 de enero de 2021;04. Salamanca;04. Salamanca;63.001;8.138;6.340
1 de enero de 2021;04. Salamanca;041. Recoletos;6.619;941;820
1 de enero de 2021;04. Salamanca;042. Goya;13.145;1.749;1.318
1 de enero de 2021;04. Salamanca;043. Fuente del Berro;9.266;1.176;850
1 de enero de 2021;04. Salamanca;044. Guindalera;17.813;2.092;1.685
1 de enero de 2021;04. Salamanca;045. Lista;9.211;1.249;885
1 de enero de 2021;04. Salamanca;046. Castellana;6.947;931;782
1 de enero de 2021;05. Chamartín;05. Chamartín;58.413;5.881;5.166
1 de enero de 2021;05. Chamartín;051. El Viso;6.146;543;498
1 de enero de 2021;05. Chamartín;052. Prosperidad;15.906;1.748;1.480
1 de enero de 2021;05. Chamartín;053. Ciudad Jardín;8.056;911;817
1 de enero de 2021;05. Chamartín;054. Hispanoamérica;12.406;1.134;971
1 de enero de 2021;05. Chamartín;055. Nueva España;9.223;938;793
1 de enero de 2021;05. Chamartín;056. Castilla;6.676;607;607
1 de enero de 2021;06. Tetuán;06. Tetuán;67.073;8.193;7.840
1 de enero de 2021;06. Tetuán;061. Bellas Vistas;11.967;1.404;1.381
1 de enero de 2021;06. Tetuán;062. Cuatro Caminos;15.146;1.893;1.680
1 de enero de 2021;06. Tetuán;063. Castillejos;9.367;1.217;1.143
1 de enero de 2021;06. Tetuán;064. Almenara;9.375;1.005;1.080
1 de enero de 2021;06. Tetuán;065. Valdeacederas;10.795;1.371;1.323
1 de enero de 2021;06. Tetuán;066. Berruguete;10.423;1.303;1.233
1 de enero de 2021;07. Chamberí;07. Chamberí;61.936;8.257;6.909
1 de enero de 2021;07. Chamberí;071. Gaztambide;10.528;1.451;1.163
1 de enero de 2021;07. Chamberí;072. Arapiles;11.203;1.516;1.227
1 de enero de 2021;07. Chamberí;073. Trafalgar;11.704;1.866;1.556
1 de enero de 2021;07. Chamberí;074. Almagro;8.011;933;927
1 de enero de 2021;07. Chamberí;075. Ríos Rosas;12.082;1.570;1.315
1 de enero de 2021;07. Chamberí;076. Vallehermoso;8.408;921;721
1 de enero de 2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;91.408;6.014;6.274
1 de enero de 2021;08. Fuencarral-El Pardo;081. El Pardo;1.315;77;104
1 de enero de 2021;08. Fuencarral-El Pardo;082. Fuentelarreina;1.135;59;44
1 de enero de 2021;08. Fuencarral-El Pardo;083. Peñagrande;17.118;1.085;1.014
1 de enero de 2021;08. Fuencarral-El Pardo;084. Pilar;19.496;1.514;1.430
1 de enero de 2021;08. Fuencarral-El Pardo;085. La Paz;12.522;490;454
1 de enero de 2021;08. Fuencarral-El Pardo;086. Valverde;22.939;1.714;2.066
1 de enero de 2021;08. Fuencarral-El Pardo;087. Mirasierra;11.038;598;631
1 de enero de 2021;08. Fuencarral-El Pardo;088. El Goloso;5.845;477;531
1 de enero de 2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;46.361;3.793;3.919
1 de enero de 2021;09. Moncloa-Aravaca;091. Casa de Campo;5.588;459;567
1 de enero de 2021;09. Moncloa-Aravaca;092. Argüelles;10.411;1.206;1.206
1 de enero de 2021;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.193;500;520
1 de enero de 2021;09. Moncloa-Aravaca;094. Valdezarza;12.508;973;911
1 de enero de 2021;09. Moncloa-Aravaca;095. Valdemarín;1.986;131;172
1 de enero de 2021;09. Moncloa-Aravaca;096. El Plantío;905;45;51
1 de enero de 2021;09. Moncloa-Aravaca;097. Aravaca;8.770;479;492
1 de enero de 2021;10. Latina;10. Latina;95.756;6.855;7.170
1 de enero de 2021;10. Latina;101. Los Cármenes;6.629;502;556
1 de enero de 2021;10. Latina;102. Puerta del Ángel;17.566;1.800;1.799
1 de enero de 2021;10. Latina;103. Lucero;14.237;1.014;1.104
1 de enero de 2021;10. Latina;104. Aluche;26.839;1.576;1.553
1 de enero de 2021;10. Latina;105. Campamento;7.428;494;527
1 de enero de 2021;10. Latina;106. Cuatro Vientos;2.213;280;294
1 de enero de 2021;10. Latina;107. Águilas;20.844;1.189;1.337
1 de enero de 2021;11. Carabanchel;11. Carabanchel;96.871;7.677;7.564
1 de enero de 2021;11. Carabanchel;111. Comillas;9.617;887;871
1 de enero de 2021;11. Carabanchel;112. Opañel;13.209;1.185;1.077
1 de enero de 2021;11. Carabanchel;113. San Isidro;15.311;1.380;1.310
1 de enero de 2021;11. Carabanchel;114. Vista Alegre;17.469;1.230;1.096
1 de enero de 2021;11. Carabanchel;115. Puerta Bonita;12.708;898;919
1 de enero de 2021;11. Carabanchel;116. Buenavista;17.437;1.353;1.561
1 de enero de 2021;11. Carabanchel;117. Abrantes;11.120;744;730
1 de enero de 2021;12. Usera;12. Usera;50.285;3.324;3.623
1 de enero de 2021;12. Usera;121. Orcasitas;8.437;464;502
1 de enero de 2021;12. Usera;122. Orcasur;4.772;323;391
1 de enero de 2021;12. Usera;123. San Fermín;8.296;506;629
1 de enero de 2021;12. Usera;124. Almendrales;7.907;575;597
1 de enero de 2021;12. Usera;125. Moscardó;9.808;739;745
1 de enero de 2021;12. Usera;126. Zofío;5.049;325;345
1 de enero de 2021;12. Usera;127. Pradolongo;6.016;392;414
1 de enero de 2021;13. Puente de Vallecas;13. Puente de Vallecas;89.291;6.741;7.353
1 de enero de 2021;13. Puente de Vallecas;131. Entrevías;12.749;757;861
1 de enero de 2021;13. Puente de Vallecas;132. San Diego;16.125;1.489;1.767
1 de enero de 2021;13. Puente de Vallecas;133. Palomeras Bajas;15.130;1.159;1.104
1 de enero de 2021;13. Puente de Vallecas;134. Palomeras Sureste;16.074;1.032;1.172
1 de enero de 2021;13. Puente de Vallecas;135. Portazgo;10.842;733;782
1 de enero de 2021;13. Puente de Vallecas;136. Numancia;18.371;1.571;1.667
1 de enero de 2021;14. Moratalaz;14. Moratalaz;37.573;2.487;2.276
1 de enero de 2021;14. Moratalaz;141. Pavones;3.300;172;171
1 de enero de 2021;14. Moratalaz;142. Horcajo;2.181;160;130
1 de enero de 2021;14. Moratalaz;143. Marroquina;10.815;653;567
1 de enero de 2021;14. Moratalaz;144. Media Legua;7.163;492;431
1 de enero de 2021;14. Moratalaz;145. Fontarrón;6.899;454;495
1 de enero de 2021;14. Moratalaz;146. Vinateros;7.215;556;482
1 de enero de 2021;15. Ciudad Lineal;15. Ciudad Lineal;87.225;7.511;6.743
1 de enero de 2021;15. Ciudad Lineal;151. Ventas;19.993;1.852;1.591
1 de enero de 2021;15. Ciudad Lineal;152. Pueblo Nuevo;24.178;1.820;1.735
1 de enero de 2021;15. Ciudad Lineal;153. Quintana;10.367;1.063;932
1 de enero de 2021;15. Ciudad Lineal;154. Concepción;9.088;948;783
1 de enero de 2021;15. Ciudad Lineal;155. San Pascual;7.509;621;543
1 de enero de 2021;15. Ciudad Lineal;156. San Juan Bautista;4.903;389;410
1 de enero de 2021;15. Ciudad Lineal;157. Colina;2.602;260;229
1 de enero de 2021;15. Ciudad Lineal;158. Atalaya;579;53;52
1 de enero de 2021;15. Ciudad Lineal;159. Costillares;8.006;505;468
1 de enero de 2021;16. Hortaleza;16. Hortaleza;72.104;5.151;5.435
1 de enero de 2021;16. Hortaleza;161. Palomas;2.246;102;119
1 de enero de 2021;16. Hortaleza;162. Piovera;4.882;320;327
1 de enero de 2021;16. Hortaleza;163. Canillas;16.129;1.098;1.036
1 de enero de 2021;16. Hortaleza;164. Pinar del Rey;21.422;1.507;1.408
1 de enero de 2021;16. Hortaleza;165. Apóstol Santiago;5.827;350;435
1 de enero de 2021;16. Hortaleza;166. Valdefuentes;21.598;1.774;2.110
1 de enero de 2021;17. Villaverde;17. Villaverde;54.821;3.292;3.945
1 de enero de 2021;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.592;1.086;1.267
1 de enero de 2021;17. Villaverde;172. San Cristóbal;5.177;255;363
1 de enero de 2021;17. Villaverde;173. Butarque;7.254;497;657
1 de enero de 2021;17. Villaverde;174. Los Rosales;13.258;766;881
1 de enero de 2021;17. Villaverde;175. Ángeles;12.540;688;777
1 de enero de 2021;18. Villa de Vallecas;18. Villa de Vallecas;43.733;4.044;4.558
1 de enero de 2021;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.886;1.023;1.219
1 de enero de 2021;18. Villa de Vallecas;182. Santa Eugenia;9.050;413;422
1 de enero de 2021;18. Villa de Vallecas;183. Ensanche de Vallecas;19.797;2.608;2.917
1 de enero de 2021;19. Vicálvaro;19. Vicálvaro;27.591;1.868;2.199
1 de enero de 2021;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.371;835;943
1 de enero de 2021;19. Vicálvaro;192. Valdebernardo;6.109;402;403
1 de enero de 2021;19. Vicálvaro;193. Valderrivas;6.307;452;547
1 de enero de 2021;19. Vicálvaro;194. El Cañaveral;1.804;179;306
1 de enero de 2021;20. San Blas-Canillejas;20. San Blas-Canillejas;60.551;4.316;4.922
1 de enero de 2021;20. San Blas-Canillejas;201. Simancas;11.044;960;1.100
1 de enero de 2021;20. San Blas-Canillejas;202. Hellín;3.703;236;294
1 de enero de 2021;20. San Blas-Canillejas;203. Amposta;3.393;243;296
1 de enero de 2021;20. San Blas-Canillejas;204. Arcos;9.076;538;681
1 de enero de 2021;20. San Blas-Canillejas;205. Rosas;11.112;648;667
1 de enero de 2021;20. San Blas-Canillejas;206. Rejas;6.825;721;862
1 de enero de 2021;20. San Blas-Canillejas;207. Canillejas;11.039;668;740
1 de enero de 2021;20. San Blas-Canillejas;208. El Salvador;4.359;302;282
1 de enero de 2021;21. Barajas;21. Barajas;18.756;1.376;1.466
1 de enero de 2021;21. Barajas;211. Alameda de Osuna;7.359;338;372
1 de enero de 2021;21. Barajas;212. Aeropuerto;704;37;72
1 de enero de 2021;21. Barajas;213. Casco Histórico de Barajas;3.160;337;343
1 de enero de 2021;21. Barajas;214. Timón;4.933;474;475
1 de enero de 2021;21. Barajas;215. Corralejos;2.600;190;204
1 de enero de 2022;Ciudad de Madrid;Ciudad de Madrid;1.313.660;120.651;122.138
1 de enero de 2022;01. Centro;01. Centro;69.927;11.952;14.056
1 de enero de 2022;01. Centro;011. Palacio;11.683;1.844;2.110
1 de enero de 2022;01. Centro;012. Embajadores;22.704;3.976;4.574
1 de enero de 2022;01. Centro;013. Cortes;5.595;996;1.090
1 de enero de 2022;01. Centro;014. Justicia;8.991;1.477;1.928
1 de enero de 2022;01. Centro;015. Universidad;16.983;3.036;3.519
1 de enero de 2022;01. Centro;016. Sol;3.971;623;835
1 de enero de 2022;02. Arganzuela;02. Arganzuela;65.725;7.536;6.984
1 de enero de 2022;02. Arganzuela;021. Imperial;9.643;1.019;928
1 de enero de 2022;02. Arganzuela;022. Acacias;15.492;1.712;1.317
1 de enero de 2022;02. Arganzuela;023. Chopera;8.662;996;824
1 de enero de 2022;02. Arganzuela;024. Legazpi;7.688;814;907
1 de enero de 2022;02. Arganzuela;025. Delicias;11.936;1.362;1.319
1 de enero de 2022;02. Arganzuela;026. Palos de la Frontera;11.680;1.565;1.612
1 de enero de 2022;02. Arganzuela;027. Atocha;624;68;77
1 de enero de 2022;03. Retiro;03. Retiro;49.073;4.410;3.999
1 de enero de 2022;03. Retiro;031. Pacífico;14.675;1.550;1.333
1 de enero de 2022;03. Retiro;032. Adelfas;7.880;782;748
1 de enero de 2022;03. Retiro;033. Estrella;8.722;441;438
1 de enero de 2022;03. Retiro;034. Ibiza;9.366;1.037;893
1 de enero de 2022;03. Retiro;035. Los Jerónimos;2.761;235;259
1 de enero de 2022;03. Retiro;036. Niño Jesús;5.669;365;328
1 de enero de 2022;04. Salamanca;04. Salamanca;63.238;8.113;6.473
1 de enero de 2022;04. Salamanca;041. Recoletos;6.680;950;837
1 de enero de 2022;04. Salamanca;042. Goya;13.198;1.735;1.340
1 de enero de 2022;04. Salamanca;043. Fuente del Berro;9.268;1.157;864
1 de enero de 2022;04. Salamanca;044. Guindalera;17.869;2.107;1.701
1 de enero de 2022;04. Salamanca;045. Lista;9.231;1.235;921
1 de enero de 2022;04. Salamanca;046. Castellana;6.992;929;810
1 de enero de 2022;05. Chamartín;05. Chamartín;58.644;6.044;5.341
1 de enero de 2022;05. Chamartín;051. El Viso;6.158;541;526
1 de enero de 2022;05. Chamartín;052. Prosperidad;16.024;1.826;1.513
1 de enero de 2022;05. Chamartín;053. Ciudad Jardín;8.067;932;828
1 de enero de 2022;05. Chamartín;054. Hispanoamérica;12.473;1.148;1.034
1 de enero de 2022;05. Chamartín;055. Nueva España;9.216;973;836
1 de enero de 2022;05. Chamartín;056. Castilla;6.706;624;604
1 de enero de 2022;06. Tetuán;06. Tetuán;67.310;8.372;8.118
1 de enero de 2022;06. Tetuán;061. Bellas Vistas;12.039;1.460;1.440
1 de enero de 2022;06. Tetuán;062. Cuatro Caminos;15.211;1.944;1.778
1 de enero de 2022;06. Tetuán;063. Castillejos;9.367;1.275;1.201
1 de enero de 2022;06. Tetuán;064. Almenara;9.398;1.003;1.058
1 de enero de 2022;06. Tetuán;065. Valdeacederas;10.872;1.369;1.366
1 de enero de 2022;06. Tetuán;066. Berruguete;10.423;1.321;1.275
1 de enero de 2022;07. Chamberí;07. Chamberí;61.912;8.356;7.110
1 de enero de 2022;07. Chamberí;071. Gaztambide;10.457;1.422;1.186
1 de enero de 2022;07. Chamberí;072. Arapiles;11.196;1.528;1.276
1 de enero de 2022;07. Chamberí;073. Trafalgar;11.743;1.877;1.622
1 de enero de 2022;07. Chamberí;074. Almagro;8.050;972;926
1 de enero de 2022;07. Chamberí;075. Ríos Rosas;12.086;1.630;1.330
1 de enero de 2022;07. Chamberí;076. Vallehermoso;8.380;927;770
1 de enero de 2022;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;91.810;6.188;6.354
1 de enero de 2022;08. Fuencarral-El Pardo;081. El Pardo;1.305;82;110
1 de enero de 2022;08. Fuencarral-El Pardo;082. Fuentelarreina;1.138;64;47
1 de enero de 2022;08. Fuencarral-El Pardo;083. Peñagrande;17.123;1.096;1.012
1 de enero de 2022;08. Fuencarral-El Pardo;084. Pilar;19.458;1.554;1.436
1 de enero de 2022;08. Fuencarral-El Pardo;085. La Paz;12.495;518;463
1 de enero de 2022;08. Fuencarral-El Pardo;086. Valverde;23.067;1.763;2.104
1 de enero de 2022;08. Fuencarral-El Pardo;087. Mirasierra;11.294;635;632
1 de enero de 2022;08. Fuencarral-El Pardo;088. El Goloso;5.930;476;550
1 de enero de 2022;09. Moncloa-Aravaca;09. Moncloa-Aravaca;46.644;3.852;4.107
1 de enero de 2022;09. Moncloa-Aravaca;091. Casa de Campo;5.579;500;568
1 de enero de 2022;09. Moncloa-Aravaca;092. Argüelles;10.534;1.231;1.270
1 de enero de 2022;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.207;467;540
1 de enero de 2022;09. Moncloa-Aravaca;094. Valdezarza;12.497;974;975
1 de enero de 2022;09. Moncloa-Aravaca;095. Valdemarín;2.036;127;166
1 de enero de 2022;09. Moncloa-Aravaca;096. El Plantío;936;41;51
1 de enero de 2022;09. Moncloa-Aravaca;097. Aravaca;8.855;512;537
1 de enero de 2022;10. Latina;10. Latina;95.971;7.155;7.525
1 de enero de 2022;10. Latina;101. Los Cármenes;6.667;508;581
1 de enero de 2022;10. Latina;102. Puerta del Ángel;17.613;1.896;1.894
1 de enero de 2022;10. Latina;103. Lucero;14.274;1.045;1.176
1 de enero de 2022;10. Latina;104. Aluche;26.858;1.676;1.626
1 de enero de 2022;10. Latina;105. Campamento;7.455;510;567
1 de enero de 2022;10. Latina;106. Cuatro Vientos;2.246;278;294
1 de enero de 2022;10. Latina;107. Águilas;20.858;1.242;1.387
1 de enero de 2022;11. Carabanchel;11. Carabanchel;97.264;7.727;7.873
1 de enero de 2022;11. Carabanchel;111. Comillas;9.577;872;910
1 de enero de 2022;11. Carabanchel;112. Opañel;13.278;1.184;1.098
1 de enero de 2022;11. Carabanchel;113. San Isidro;15.391;1.391;1.385
1 de enero de 2022;11. Carabanchel;114. Vista Alegre;17.561;1.237;1.168
1 de enero de 2022;11. Carabanchel;115. Puerta Bonita;12.741;915;956
1 de enero de 2022;11. Carabanchel;116. Buenavista;17.555;1.383;1.603
1 de enero de 2022;11. Carabanchel;117. Abrantes;11.161;745;753
1 de enero de 2022;12. Usera;12. Usera;50.543;3.420;3.774
1 de enero de 2022;12. Usera;121. Orcasitas;8.472;462;514
1 de enero de 2022;12. Usera;122. Orcasur;4.803;323;400
1 de enero de 2022;12. Usera;123. San Fermín;8.310;509;653
1 de enero de 2022;12. Usera;124. Almendrales;8.083;625;647
1 de enero de 2022;12. Usera;125. Moscardó;9.836;758;791
1 de enero de 2022;12. Usera;126. Zofío;5.035;337;337
1 de enero de 2022;12. Usera;127. Pradolongo;6.004;406;432
1 de enero de 2022;13. Puente de Vallecas;13. Puente de Vallecas;89.590;6.958;7.635
1 de enero de 2022;13. Puente de Vallecas;131. Entrevías;12.723;782;913
1 de enero de 2022;13. Puente de Vallecas;132. San Diego;16.277;1.559;1.812
1 de enero de 2022;13. Puente de Vallecas;133. Palomeras Bajas;15.141;1.165;1.147
1 de enero de 2022;13. Puente de Vallecas;134. Palomeras Sureste;16.157;1.055;1.210
1 de enero de 2022;13. Puente de Vallecas;135. Portazgo;10.854;775;829
1 de enero de 2022;13. Puente de Vallecas;136. Numancia;18.438;1.622;1.724
1 de enero de 2022;14. Moratalaz;14. Moratalaz;37.530;2.519;2.370
1 de enero de 2022;14. Moratalaz;141. Pavones;3.283;173;174
1 de enero de 2022;14. Moratalaz;142. Horcajo;2.190;154;139
1 de enero de 2022;14. Moratalaz;143. Marroquina;10.803;661;573
1 de enero de 2022;14. Moratalaz;144. Media Legua;7.149;501;451
1 de enero de 2022;14. Moratalaz;145. Fontarrón;6.889;460;512
1 de enero de 2022;14. Moratalaz;146. Vinateros;7.216;570;521
1 de enero de 2022;15. Ciudad Lineal;15. Ciudad Lineal;87.240;7.514;7.030
1 de enero de 2022;15. Ciudad Lineal;151. Ventas;20.000;1.804;1.665
1 de enero de 2022;15. Ciudad Lineal;152. Pueblo Nuevo;24.195;1.817;1.833
1 de enero de 2022;15. Ciudad Lineal;153. Quintana;10.378;1.113;981
1 de enero de 2022;15. Ciudad Lineal;154. Concepción;9.042;935;798
1 de enero de 2022;15. Ciudad Lineal;155. San Pascual;7.506;634;581
1 de enero de 2022;15. Ciudad Lineal;156. San Juan Bautista;4.888;383;407
1 de enero de 2022;15. Ciudad Lineal;157. Colina;2.628;259;228
1 de enero de 2022;15. Ciudad Lineal;158. Atalaya;598;57;60
1 de enero de 2022;15. Ciudad Lineal;159. Costillares;8.005;512;477
1 de enero de 2022;16. Hortaleza;16. Hortaleza;73.289;5.185;5.719
1 de enero de 2022;16. Hortaleza;161. Palomas;2.281;93;129
